Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(783600k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.573: [GC (Allocation Failure) 0.573: [DefNew: 447K->63K(448K), 0.0012822 secs] 18531K->18526K(1048512K), 0.0013396 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.583: [GC (Allocation Failure) 0.583: [DefNew: 447K->64K(448K), 0.0013222 secs] 18910K->18906K(1048512K), 0.0013781 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.593: [GC (Allocation Failure) 0.593: [DefNew: 448K->64K(448K), 0.0014003 secs] 19290K->19284K(1048512K), 0.0014593 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.602: [GC (Allocation Failure) 0.602: [DefNew: 448K->63K(448K), 0.0014406 secs] 19668K->19663K(1048512K), 0.0014933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.612: [GC (Allocation Failure) 0.612: [DefNew: 447K->63K(448K), 0.0014409 secs] 20047K->20042K(1048512K), 0.0015009 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.622: [GC (Allocation Failure) 0.622: [DefNew: 447K->63K(448K), 0.0014013 secs] 20426K->20420K(1048512K), 0.0014611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.632: [GC (Allocation Failure) 0.632: [DefNew: 447K->64K(448K), 0.0014102 secs] 20804K->20799K(1048512K), 0.0014718 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.642: [GC (Allocation Failure) 0.642: [DefNew: 448K->63K(448K), 0.0014616 secs] 21183K->21179K(1048512K), 0.0015224 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.651: [GC (Allocation Failure) 0.652: [DefNew: 447K->64K(448K), 0.0011300 secs] 21563K->21555K(1048512K), 0.0011828 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.661: [GC (Allocation Failure) 0.661: [DefNew: 448K->63K(448K), 0.0011579 secs] 21939K->21934K(1048512K), 0.0012005 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.671: [GC (Allocation Failure) 0.671: [DefNew: 447K->64K(448K), 0.0012299 secs] 22318K->22314K(1048512K), 0.0012951 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.680: [GC (Allocation Failure) 0.680: [DefNew: 448K->63K(448K), 0.0011383 secs] 22698K->22694K(1048512K), 0.0011752 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.690: [GC (Allocation Failure) 0.690: [DefNew: 447K->63K(448K), 0.0013838 secs] 23078K->23072K(1048512K), 0.0014403 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.700: [GC (Allocation Failure) 0.701: [DefNew: 447K->63K(448K), 0.0013352 secs] 23456K->23451K(1048512K), 0.0014063 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
